SBER;MOEX;YNDX
9837842414;1760952470;3613608497
18901430661;1778633307;5590493998
24086072932;1154959620;5206608560
20686038716;1733609458;16661870109
10611904576;1559091603;9689458279
18405007816;1735952235;11367304986
8727611405;961438315.3;8908341962
9128470276;891695086.1;8955150291
27336230596;1161052984;13994978310
32170258945;1871028753;12067881492
10345016893;1450249939;11162543289
13519382620;1034096733;13004362423
17191544879;943582536.1;18929695913
11613583692;931306377.4;12787807400
9232406393;983207159;11800110057
14071375877;2222374182;1.16391E+11
8522787145;1516643883;18423656591
17450608747;1621093048;12409653215
15382475470;1744634598;12903085332
15500726113;1233230253;13691512417
13178570254;987065722.4;6213642695
15302879362;1095702365;15642564923
10478057858;548896497.9;7953995668
15594540162;1079300012;8361955914
10116610895;609650387.2;6954274617
14157337174;1435126456;5337359103
14255629552;1121716887;8344070019
9156984437;2759351961;4194996955
11305308495;2882105970;7460074667
12588932835;2134305033;4674724400
15914876385;1588448101;4547320864
15206482114;2395555181;14477851335
16403578895;1749979376;68430664481
18732362395;1643197510;14415410288
13705991460;1163742257;8914472775
14741456974;1106059848;8892190478
20396145374;2001716104;7497736163
17872440194;1555587871;3568363774
17791063641;1072904689;6063040492
23838847084;1571620841;5892209060
9513875234;4780438895;4034259264
18494841963;1858123594;4994787136
13059113370;1408474402;4723599832
10346732011;1382385494;4299701272
13514648160;1193162954;5128772802
10804190711;1725376282;4591643244
9481495812;2141316970;5892058127
9685023432;1583447872;4197003484
15627615938;1285864711;4796237583
13392342060;2022726202;10368259362
9616800476;2003171066;6438361041
16761624911;1923863503;6602846338
17405263503;1321878623;8104296525
9827794477;1327826521;6620270605
16035135289;2095476012;3431184052
12523196338;1467529970;2798071118
12740888700;936154404;4102303704
14346698389;2429805268;6323568978
18784577809;2035436095;4594748007
16956465783;2798507321;2968716024
16569318136;3134858848;3894683822
18755423472;1996986949;3936619471
32864048096;2820279649;7172170337
20569505847;1511825309;4970657456
49040624016;2799791214;9166527038
53418710877;2159281421;7977459462
56981091002;2148785449;7723386289
36869870228;2386232554;2827835235
25594975927;1728418901;1823739054
28152563676;2363800772;3293492961
23346224330;2117703544;2182090796
14733578919;2083002848;2369397839
23265463603;1967596396;1663465516
11633833057;1732119022;1596072036
18049549355;2423848444;2895878727
20602954854;1761728462;7375754004
33360645434;2392818443;4112439302
19957536266;2524341366;3089742110
12861398291;4567858260;5016139878
27926253239;3953645977;18829870703
33797756819;1586624983;6477510741
24485196876;2602502966;4117361544
16359009603;3508015146;2717230705
25436065778;1916157189;4200138176
25943614759;783015552.3;3686415159
21641376994;1271877100;3899465526
20456907403;2832810703;4980323887
21123931442;2020332944;3879427325
21506659116;2038474708;2538825773
25581080170;2838482643;3022896501
23511052595;1873048157;1952016802
15220154497;2124530074;2757995400
25872189748;2432170113;4841812730
